"DOUG","240403","03-Apr-24","1.4","1.55","1.38","1.54","847482","9.22","0.13","","","","","","","819319",\N,\N,\N,\N
"VCIG","240403","03-Apr-24","1.04","1.05","1","1.01","119504","-0.98","-0.01","","","","","","","884292",\N,\N,\N,\N
"ABOS","240403","03-Apr-24","3.76","3.915","3.75","3.91","155494","3.17","0.12","","","","","","","356205",\N,\N,\N,\N
"USCB","240403","03-Apr-24","11.07","11.17","11.07","11.12","11605","0.45","0.05","","","","","","","16488",\N,\N,\N,\N
"SLN","240403","03-Apr-24","21.04","21.63","20.68","21.32","53678","0.38","0.08","","","","","","","234709",\N,\N,\N,\N
"ARBE","240403","03-Apr-24","1.99","2.028","1.92","1.97","62918","-1.50","-0.03","","","","","","","141121",\N,\N,\N,\N
"CFFS","240403","03-Apr-24","10.91","10.99","10.91","10.91","440","0.00","0.00","","","","","","","40335",\N,\N,\N,\N
"RANI","240403","03-Apr-24","3.2","3.45","3.1","3.31","91008","5.41","0.17","","","","","","","72479",\N,\N,\N,\N
"AUGX","240403","03-Apr-24","4.01","4.21","3.96","4.18","320399","3.98","0.16","","","","","","","315648",\N,\N,\N,\N
"AOMR","240403","03-Apr-24","10.56","10.84","10.4","10.84","40580","2.94","0.31","","","","","","","39571",\N,\N,\N,\N
"OCEA","240403","03-Apr-24","3.17","3.2","2.83","2.94","347552","-7.26","-0.23","","","","","","","5811049",\N,\N,\N,\N
"VGAS","240403","03-Apr-24","3.92","4.15","3.88","4.07","5315","5.17","0.20","","","","","","","29847",\N,\N,\N,\N
"ISRLU","240403","03-Apr-24","11.315","11.315","11.315","11.32","1","0.00","0.00","","","","","","","13590",\N,\N,\N,\N
"LLAP","240403","03-Apr-24","1.2","1.3","1.16","1.27","3435565","6.72","0.08","","","","","","","3278821",\N,\N,\N,\N
"TALK","240403","03-Apr-24","3.45","3.655","3.445","3.64","1341019","5.20","0.18","9.69","5.47","0.36","2001/01/01","27.8","1.5","1143642",\N,\N,\N,\N
"BLND","240403","03-Apr-24","2.99","3.165","2.96","3.12","863447","3.31","0.10","","","","","","","1707638",\N,\N,\N,\N
"TCBX","240403","03-Apr-24","18.5","19.02","18.5","18.89","20433","1.67","0.31","","","","","","","29009",\N,\N,\N,\N
"PEPG","240403","03-Apr-24","12.79","13.44","10.78","10.87","110180","-16.70","-2.18","","","","","","","124621",\N,\N,\N,\N
"BFAC","240403","03-Apr-24","11.03","11.04","11.03","11.04","462","0.05","0.00","","","","","","","6591",\N,\N,\N,\N
"STIX","240403","03-Apr-24","0.8518","0.8795","0.77","0.83","25923","-7.66","-0.07","","","","","","","23719",\N,\N,\N,\N
"MOLN","240403","03-Apr-24","3.9","4.048","3.781","4.05","3327","3.79","0.15","","","","","","","12332",\N,\N,\N,\N
"XOMAO","240403","03-Apr-24","25.01","25.09","24.99","25.00","7369","-0.18","-0.04","","","","","","","3581",\N,\N,\N,\N
