"ticker","datenr","pchange","wkchange","qtrchange","yrchange","ytdchange","currrating","prevrating","changeddate","suffix","suffixdays","volchange","dchange","prevsuffix","suffixchangeddate","weeksuffix","weekprevsuffix","weeksuffixchangeddate","weeksuffixdays","dailystoploss","weeklystoploss","dailystopbuy","weeklystopbuy","2wkchange","3wkchange","mthchange","monthlystopbuy","monthlystoploss","weekhigh","weeklow"
"DRV",240328,-1.32,-6.31,5.59,-34.56,2.3,"Weak","Mkt Perform","240327","-",1,-51.95,-0.47,"","","-","","",1,35.63,35.65,37.66,38.39,-6.11,2.63,-5.41,43.22,36.43,,
"FAZ",240328,-1.15,-4.42,-27.24,-56.3,-27.98,"Weak","Mkt Perform","240327","-",1,-27.45,-0.12,"","","-","","",1,9.95,9.84,10.24,11.11,-10.82,-11.86,-13.34,13.16,11.15,,
"ERY",240328,-2.04,-4.16,-21.92,-30.78,-22.45,"Weak","Mkt Perform","240327","-",1,-31.4,-0.45,"","","-","","",1,22.11,22.37,22.7,23.9,-8.65,-15.13,-18.94,28.96,26.14,,
"SDP",240328,-1.2,-5.09,-7.39,-1.7,-7.59,"Weak","Mkt Perform","240327","-",1,-35.77,-0.14,"","","-","","",1,11.68,11.99,12.19,12.5,-8.24,-7.08,-11.35,14.36,13,,
"SSG",240328,0.41,3.85,-51.3,-81.6,-51.98,"Mkt Perform","Weak","240326","+",5,-65.32,0.01,"","","-","","",1,2.34,2.3,2.5,2.77,-7.6,-3.57,-16.21,4.22,2.89,,
"DUG",240328,-2.28,-4.24,-21.52,-31.82,-21.86,"Weak","Mkt Perform","240327","-",1,-35.76,-0.21,"","","-","","",1,9.3,9.39,9.52,9.95,-7.74,-14.51,-18.2,12.05,10.89,,
"SIJ",240328,-0.08,-0.82,-17.58,-37.65,-17.86,"Weak","Mkt Perform","240327","-",1,-88.02,-0.01,"","","-","","",26,9.32,9.3,9.45,10.04,-7.5,-6.85,-8.32,11.9,10.16,,
"SCC",240328,0,-1.43,-5.23,-41.16,-6.47,"Weak","Mkt Perform","240327","-",5,-88.54,0,"","","-","","",26,14.33,14.21,14.65,15.32,-7.76,-5.26,-0.52,16.65,14.41,,
"SMN",240328,-0.65,-2.86,-14.72,-30.11,-15.23,"Weak","Mkt Perform","240327","-",1,-51.52,-0.05,"","","-","","",1,6.99,7.06,7.05,7.4,-5.76,-8.52,-11.84,9.25,7.87,,
"AAPL",240328,-0.86,-0.27,-11.24,6.87,-10.76,"Mkt Perform","Weak","240328","+",5,282.07,-1.5,"","","-","","",1,170.11,170.06,173.6,178.67,-0.47,0.64,-4.94,191.05,179.25,,
"GOOGL",240328,0.14,0.21,7.74,49.01,8.15,"Mkt Perform","Weak","240325","-",5,-62.11,0.21,"","","+","","",1,148.9,146.08,151.63,152.15,7.01,11.57,9.11,149.44,135.41,,
